"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","All Institutions"
"Time:","2009 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Office of Postsecondary Education, Office of Postsecondary Education (U.S. Department of Education) (2022-09-08). College Athletics: Revenue by Sport | Albany State University, Binghamton University, Russell Sage College, Sage College of Albany, Siena College, SUNY Cortland, SUNY Oneonta, Syracuse University, The College of Saint Rose | Basketball | Soccer | Volleyball | Lacrosse | Field Hockey | Water Polo | Per Team for Men | Per Team for Women, 2009 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  069-001-012 doi:https://doi.org/10.6068/DP184682A520E22"
"ColumnCount:",67
"RowCount:",12

"Time","Albany State University, Basketball, Per Team for Men ($)","Albany State University, Basketball, Per Team for Women ($)","Albany State University, Soccer, Per Team for Women ($)","Albany State University, Volleyball, Per Team for Women ($)","Binghamton University, Basketball, Per Team for Men ($)","Binghamton University, Basketball, Per Team for Women ($)","Binghamton University, Lacrosse, Per Team for Men ($)","Binghamton University, Lacrosse, Per Team for Women ($)","Binghamton University, Soccer, Per Team for Men ($)","Binghamton University, Soccer, Per Team for Women ($)","Binghamton University, Volleyball, Per Team for Women ($)","Russell Sage College, Basketball, Per Team for Men ($)","Russell Sage College, Basketball, Per Team for Women ($)","Russell Sage College, Field Hockey, Per Team for Women ($)","Russell Sage College, Lacrosse, Per Team for Men ($)","Russell Sage College, Lacrosse, Per Team for Women ($)","Russell Sage College, Soccer, Per Team for Men ($)","Russell Sage College, Soccer, Per Team for Women ($)","Russell Sage College, Volleyball, Per Team for Men ($)","Russell Sage College, Volleyball, Per Team for Women ($)","Sage College of Albany, Basketball, Per Team for Men ($)","Sage College of Albany, Basketball, Per Team for Women ($)","Sage College of Albany, Lacrosse, Per Team for Women ($)","Sage College of Albany, Soccer, Per Team for Women ($)","Sage College of Albany, Volleyball, Per Team for Men ($)","Sage College of Albany, Volleyball, Per Team for Women ($)","Siena College, Basketball, Per Team for Men ($)","Siena College, Basketball, Per Team for Women ($)","Siena College, Field Hockey, Per Team for Women ($)","Siena College, Lacrosse, Per Team for Men ($)","Siena College, Lacrosse, Per Team for Women ($)","Siena College, Soccer, Per Team for Men ($)","Siena College, Soccer, Per Team for Women ($)","Siena College, Volleyball, Per Team for Women ($)","Siena College, Water Polo, Per Team for Women ($)","SUNY Cortland, Basketball, Per Team for Men ($)","SUNY Cortland, Basketball, Per Team for Women ($)","SUNY Cortland, Field Hockey, Per Team for Women ($)","SUNY Cortland, Lacrosse, Per Team for Men ($)","SUNY Cortland, Lacrosse, Per Team for Women ($)","SUNY Cortland, Soccer, Per Team for Men ($)","SUNY Cortland, Soccer, Per Team for Women ($)","SUNY Cortland, Volleyball, Per Team for Women ($)","SUNY Oneonta, Basketball, Per Team for Men ($)","SUNY Oneonta, Basketball, Per Team for Women ($)","SUNY Oneonta, Field Hockey, Per Team for Women ($)","SUNY Oneonta, Lacrosse, Per Team for Men ($)","SUNY Oneonta, Lacrosse, Per Team for Women ($)","SUNY Oneonta, Soccer, Per Team for Men ($)","SUNY Oneonta, Soccer, Per Team for Women ($)","SUNY Oneonta, Volleyball, Per Team for Women ($)","Syracuse University, Basketball, Per Team for Men ($)","Syracuse University, Basketball, Per Team for Women ($)","Syracuse University, Field Hockey, Per Team for Women ($)","Syracuse University, Lacrosse, Per Team for Men ($)","Syracuse University, Lacrosse, Per Team for Women ($)","Syracuse University, Soccer, Per Team for Men ($)","Syracuse University, Soccer, Per Team for Women ($)","Syracuse University, Volleyball, Per Team for Women ($)","The College of Saint Rose, Basketball, Per Team for Men ($)","The College of Saint Rose, Basketball, Per Team for Women ($)","The College of Saint Rose, Lacrosse, Per Team for Men ($)","The College of Saint Rose, Lacrosse, Per Team for Women ($)","The College of Saint Rose, Soccer, Per Team for Men ($)","The College of Saint Rose, Soccer, Per Team for Women ($)","The College of Saint Rose, Volleyball, Per Team for Women ($)"
"2009",211064,177106,,161661,1321118,910119,363975,302205,433557,387920,404136,,,,,,,,,,78163,51119,36418,34265,30562,51677,2275880,1262826,189028,422173,225384,516503,489831,565536,135558,77549,61846,97815,114464,85097,60442,55807,104109,104117,106915,82700,103368,90855,103676,84921,90399,18309470,712368,423150,1447080,581087,415720,537733,390796,585238,538183,,,267120,522422,190293
"2010",323411,293637,,237788,1046486,988928,433809,343677,429821,400806,433913,57971,49105,,,25998,71755,30472,25978,48141,,,,,,,2211650,1359730,163906,510325,236348,645798,596838,639505,146234,124749,97796,149080,175883,152323,106776,113070,164404,111392,102093,91396,103370,104093,112401,106932,105029,19017231,1222694,746766,1940929,817239,633888,815751,630030,678241,595508,,,296726,549378,216031
"2011",151969,205131,,187761,1262578,1129792,458135,369236,525199,492883,470607,69453,58776,,,33932,60597,50434,25195,58477,,,,,,,2293234,1709080,177740,539017,329738,610631,594110,636945,181374,145164,117223,154730,206255,188518,114714,154011,204242,118470,107003,92117,116730,96897,106270,92057,121706,25888761,1859615,958473,1921509,1331800,992306,1035071,934746,733775,633096,298319,,339172,621063,268199
"2012",170231,167652,,127846,1380174,1163442,511514,434889,572205,508288,477691,66492,51737,,,35902,64712,65512,34852,72725,,,,,,,2668068,1485806,189174,673013,318743,662203,563390,701124,176161,173831,119773,139146,190171,174853,115722,196425,159494,116674,105547,96286,115527,83211,123354,98278,113664,26039030,1468241,933419,2062018,1248965,903948,1069104,862756,718588,599193,255198,,362244,628874,238451
"2013",163375,146922,,156902,1429294,1116276,529792,444331,527007,560961,476851,82916,65415,,,31933,62416,62299,27009,77482,,,,,,,2802018,1546617,206488,636031,375286,637626,625523,704055,161014,163693,128870,126996,198152,204297,126091,119570,197845,129009,116997,102872,125595,108369,120374,121625,125547,29766537,1785143,915207,2193548,1250532,996269,1152760,865323,759312,624216,265095,,386323,763730,222065
"2014",129963,171577,,140015,1611797,1213194,585714,489360,551658,578763,560478,91029,48880,,,39725,64313,72770,21063,68185,,,,,,,2516769,1502855,232827,747151,386459,637817,721574,789363,152848,151472,131286,112898,196238,169022,146760,138063,193632,120410,119894,107364,130636,100719,121255,110871,125598,29354167,1143764,905282,1942905,1144563,815111,941509,729682,764181,661060,224628,,347088,560723,242169
"2015",143837,171218,,192341,1590639,1170025,582066,508387,621369,598592,553883,82885,55364,,,33387,63295,78494,26602,65864,,,,,,,3083128,1544049,254009,820868,491108,623458,761705,800323,171981,184357,135521,152694,220925,167262,145803,141695,224124,125788,127282,117407,134617,107740,131839,118618,134404,26889157,1670590,953094,1957179,1274548,924325,1049966,944998,639247,667094,211788,,366036,576601,271991
"2016",174711,181742,,188487,1639092,1269411,592880,538138,626916,648232,561423,93927,59410,,,33780,76607,82247,23808,70301,,,,,,,3102278,1726019,235284,818004,548234,671584,740021,833437,183444,180687,129311,135234,203842,160703,157865,122626,203766,129855,133175,120219,141263,113893,138245,124341,132185,29322084,1808153,988674,1815030,1233691,970908,1092904,990983,698436,608276,303409,,372284,528521,289551
"2017",166576,152451,107846,176955,1643098,1359937,603568,578435,589190,600850,531623,123154,113580,,,99822,125252,115041,78595,90829,,,,,,,3579394,1839383,237260,1000196,684465,721411,810478,863222,155566,179491,129533,141287,220406,161695,270112,177900,189240,144070,142789,115583,139829,120893,142672,128126,125766,31772639,1863762,1067279,2245102,1336105,995922,1172212,961083,618949,580906,351136,,367557,455237,250160
